
International Seismological Centre
ISC: Focal Mechanism solutions

Any use of data from the ISC should be cited. The correct format for citations may be found on our citation page.

The ISC Bulletin has now been completely rebuilt for the period 1964-2010. As a result, the ISC hypocentre solutions and magnitudes for the entire period of 1964-latest are based on the ak135 velocity model and the location procedure that is currently used in operations. The Bulletin has been cleaned up and a considerable number of previously unavailable data of permanent and temporary seismic deployments have been added.

Once the search has completed, a compressed KML file will be available to view the results in Google Earth.

Make an event map
Search summary:
Database: ISC Bulletin
Search type: Rectangular search
Latitude range: 35 to 39
Longitude range: 139 to 143
Start date: 2012-09-01 00:00:00
End date: 2020-10-01 00:00:00
Events found: 3446

Data on or after 2017/10/01 have not been reviewed by the ISC.

DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
ISC Bulletin
--EVENT--|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
604359438,NIED     ,2013-07-17,00:52:00   , 37.2000, 142.3000, 32.0,        ,NIED     ,14,3.160, 3.6,  ,      ,      ,      ,      ,      ,      , 32.00,66.00,  98.00,194.00,25.00,  73.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
604359590,NIED     ,2013-07-17,08:28:00   , 36.7000, 141.9000, 29.0,        ,NIED     ,14,2.720, 3.6,  ,      ,      ,      ,      ,      ,      ,  6.00,48.00,-100.00,200.00,43.00, -79.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603236658,NIED     ,2013-07-17,13:56:00   , 35.7000, 140.3000, 71.0,        ,NIED     ,15,3.680, 4.3,  ,      ,      ,      ,      ,      ,      ,155.00,31.00,  68.00,360.00,62.00, 102.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603236658,JMA      ,2013-07-17,13:56:24.10, 35.7300, 140.2000, 67.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 22.00,87.00,  87.00,251.00, 5.00, 139.00,  ,      ,48.00,288.00,      ,42.00,115.00,      , 3.00, 22.00
603367373,NIED     ,2013-07-17,18:38:00   , 38.3000, 142.0000, 62.0,        ,NIED     ,14,4.090, 3.7,  ,      ,      ,      ,      ,      ,      ,256.00,22.00, -15.00,360.00,84.00,-111.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
604359966,NIED     ,2013-07-18,06:09:00   , 37.3000, 141.9000, 32.0,        ,NIED     ,14,2.270, 3.5,  ,      ,      ,      ,      ,      ,      ,131.00, 9.00, -36.00,256.00,85.00, -97.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
604360156,NIED     ,2013-07-18,15:35:00   , 37.8000, 142.0000, 44.0,        ,NIED     ,14,1.870, 3.4,  ,      ,      ,      ,      ,      ,      , 27.00,27.00,-100.00,217.00,63.00, -85.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603238307,NIED     ,2013-07-18,17:05:00   , 38.3000, 141.9000, 50.0,        ,NIED     ,15,3.250, 4.3,  ,      ,      ,      ,      ,      ,      , 10.00,76.00,  71.00,245.00,23.00, 142.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603238336,ISC      ,2013-07-19,09:05:07.40, 38.6161, 142.0905, 51.0,        ,ISC      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 81.33,87.55, 175.04,171.54,85.05,   2.46,  ,      , 5.24, 36.35,      , 1.76,126.52,      ,84.47,235.06
603238336,NIED     ,2013-07-19,09:05:00   , 38.6000, 142.0000, 53.0,        ,NIED     ,15,2.780, 4.2,  ,      ,      ,      ,      ,      ,      , 68.00,72.00,-169.00,334.00,80.00, -18.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603238336,JMA      ,2013-07-19,09:05:08.10, 38.6100, 142.0200, 53.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 67.00,36.00, 167.00,167.00,82.00,  55.00,  ,      ,42.00, 44.00,      ,29.00,285.00,      ,35.00,172.00
603238523,ISC      ,2013-07-19,16:39:19.21, 37.5587, 141.5478, 44.2,        ,ISC      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 54.76,75.73, 106.91,183.80,21.99,  41.18,  ,      ,56.10,346.39,      ,28.77,131.19,      ,16.37,230.47
603238523,ISC      ,2013-07-19,16:39:19.21, 37.5587, 141.5478, 44.2,        ,ISC      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,223.65,27.68, 130.55,359.63,69.33,  71.17,  ,      ,61.14,241.42,      ,22.12,103.90,      ,17.58,  6.50
603238523,NIED     ,2013-07-19,16:39:00   , 37.5000, 141.6000, 47.0,        ,NIED     ,17,1.410, 5.4,  ,      ,      ,      ,      ,      ,      , 22.00,71.00,  95.00,187.00,19.00,  76.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603238523,NEIC     ,2013-07-19,16:39:18.64, 37.5000, 141.6250, 40.0,        ,NEIC     ,17,1.900, 5.5,17, 1.480,-0.110,-1.370, 0.500,-0.160, 1.160, 17.00,66.00,  98.00,179.00,25.00,  73.00,17, 1.980,68.00,302.00,-1.840,20.00,101.00,-0.140, 7.00,194.00
603238523,GCMT     ,2013-07-19,16:39:21.60, 37.5500, 141.6300, 51.9,TRUE    ,GCMT     ,17,1.705, 5.4,17, 1.340,-0.078,-1.260, 0.443,-0.414, 0.920, 23.00,63.00,  95.00,192.00,27.00,  81.00,17, 1.685,71.00,303.00,-1.725,18.00,109.00, 0.042, 4.00,200.00
606165961,NIED     ,2013-07-20,00:22:00   , 37.7000, 142.9000, 17.0,        ,NIED     ,14,4.010, 3.7,  ,      ,      ,      ,      ,      ,      ,191.00,65.00, -77.00,343.00,28.00,-115.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603367452,NIED     ,2013-07-20,03:07:00   , 38.8000, 141.9000, 50.0,        ,NIED     ,14,2.140, 3.5,  ,      ,      ,      ,      ,      ,      , 39.00,63.00, 100.00,197.00,29.00,  70.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603239102,ISC      ,2013-07-20,06:06:22.68, 36.2098, 141.7642, 20.0,        ,ISC      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 23.39,56.27,  54.89,255.10,47.13, 130.74,  ,      ,60.89,236.66,      , 5.07,137.49,      ,28.58, 44.72
603239102,NIED     ,2013-07-20,06:06:00   , 36.3000, 141.9000, 20.0,        ,NIED     ,16,7.780, 5.2,  ,      ,      ,      ,      ,      ,      , 19.00,67.00,  89.00,200.00,23.00,  91.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603239102,NEIC     ,2013-07-20,06:06:22.13, 36.2510, 141.6980, 14.0,        ,NEIC     ,16,8.600, 5.2,16, 5.710,-2.130,-3.580, 2.900,-3.250, 5.530, 31.00,68.00,  83.00,228.00,23.00, 106.00,16, 8.450,66.00,289.00,-8.800,23.00,126.00, 0.350, 6.00, 33.00
603239102,GCMT     ,2013-07-20,06:06:26.10, 36.1900, 141.8100, 20.6,TRUE    ,GCMT     ,17,0.850, 5.2,17, 0.602,-0.067,-0.530, 0.232,-0.200, 0.550, 22.00,67.00,  91.00,198.00,23.00,  87.00,17, 0.847,68.00,295.00,-0.853,22.00,111.00, 0.006, 1.00,202.00
603367456,NIED     ,2013-07-20,07:21:00   , 36.2000, 141.8000, 23.0,        ,NIED     ,14,3.290, 3.6,  ,      ,      ,      ,      ,      ,      , 41.00,88.00, 116.00,134.00,26.00,   4.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603367460,NIED     ,2013-07-20,10:28:00   , 35.7000, 141.0000, 11.0,        ,NIED     ,14,1.910, 3.5,  ,      ,      ,      ,      ,      ,      ,190.00,50.00, -75.00,348.00,42.00,-107.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603367464,NIED     ,2013-07-20,12:51:00   , 36.2000, 141.8000, 17.0,        ,NIED     ,14,7.960, 3.9,  ,      ,      ,      ,      ,      ,      , 24.00,64.00,  94.00,195.00,26.00,  81.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603367489,NIED     ,2013-07-20,23:33:00   , 38.4000, 142.1000, 50.0,        ,NIED     ,14,3.950, 3.7,  ,      ,      ,      ,      ,      ,      ,124.00,33.00, 158.00,233.00,78.00,  59.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603239602,ISC      ,2013-07-21,07:03:19.84, 35.6909, 140.7373, 44.9,        ,ISC      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 17.14,74.98,  86.50,210.41,15.41, 102.81,  ,      ,59.87,282.21,      ,29.90,109.99,      , 3.38, 18.05
603239602,ISC      ,2013-07-21,07:03:19.84, 35.6909, 140.7373, 44.9,        ,ISC      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 41.03,79.02, 145.39,138.51,56.12,  13.26,  ,      ,31.93,354.32,      ,15.05, 93.96,      ,53.90,205.60
603239602,NIED     ,2013-07-21,07:03:00   , 35.7000, 140.7000, 50.0,        ,NIED     ,16,1.330, 4.7,  ,      ,      ,      ,      ,      ,      , 36.00,85.00, 115.00,137.00,25.00,  12.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603239602,JMA      ,2013-07-21,07:03:20.10, 35.7100, 140.6500, 49.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,  9.00,76.00,  88.00,197.00,14.00,  97.00,  ,      ,59.00,277.00,      ,31.00,101.00,      , 2.00, 10.00
606166633,JMA      ,2013-07-21,07:38:53.80, 36.8500, 140.5600,  7.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,  2.00,29.00,-104.00,198.00,62.00, -82.00,  ,      ,17.00,282.00,      ,72.00,125.00,      , 7.00, 14.00
606166678,NIED     ,2013-07-21,09:52:00   , 36.3000, 141.8000, 20.0,        ,NIED     ,16,2.830, 4.9,  ,      ,      ,      ,      ,      ,      , 25.00,74.00,  98.00,179.00,18.00,  65.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
606166678,GCMT     ,2013-07-21,09:53:03.00, 36.2900, 142.0400, 38.5,TRUE    ,GCMT     ,16,4.423, 5.0,16, 3.050, 1.260,-4.310, 0.603,-1.260, 2.150, 15.00,60.00,  94.00,188.00,30.00,  83.00,16, 3.661,74.00,295.00,-5.185,15.00,102.00, 1.524, 3.00,193.00
603367583,NIED     ,2013-07-22,09:45:00   , 38.3000, 141.7000, 53.0,        ,NIED     ,15,1.510, 4.1,  ,      ,      ,      ,      ,      ,      ,185.00,77.00, -70.00,307.00,24.00,-145.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603367583,JMA      ,2013-07-22,09:45:23.30, 38.3300, 141.7000, 52.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,197.00,87.00, -78.00,299.00,13.00,-168.00,  ,      ,41.00,276.00,      ,46.00,120.00,      ,12.00, 17.00
606167371,NIED     ,2013-07-22,19:37:00   , 36.2000, 139.2000,119.0,        ,NIED     ,14,2.370, 3.5,  ,      ,      ,      ,      ,      ,      , 43.00,22.00, 132.00,178.00,74.00,  75.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603243680,NIED     ,2013-07-22,23:24:00   , 36.3000, 141.9000, 14.0,        ,NIED     ,15,3.710, 4.3,  ,      ,      ,      ,      ,      ,      , 28.00,70.00, 102.00,177.00,23.00,  61.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603243683,NIED     ,2013-07-23,02:03:00   , 37.6000, 141.8000, 47.0,        ,NIED     ,15,4.590, 4.4,  ,      ,      ,      ,      ,      ,      , 41.00,22.00,  97.00,213.00,69.00,  87.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603243685,NIED     ,2013-07-23,03:02:00   , 37.1000, 140.7000,  5.0,        ,NIED     ,16,2.080, 4.8,  ,      ,      ,      ,      ,      ,      , 22.00,40.00, -95.00,209.00,51.00, -86.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603243685,JMA      ,2013-07-23,03:02:11.90, 37.1000, 140.6800,  8.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 18.00,52.00, -97.00,210.00,38.00, -81.00,  ,      , 7.00,113.00,      ,81.00,252.00,      , 6.00, 22.00
603243685,GCMT     ,2013-07-23,03:02:13.80, 37.1900, 140.6600, 12.0,TRUE    ,GCMT     ,16,2.642, 4.9,16,-2.740, 0.911, 1.820, 0.379, 1.010, 0.223, 29.00,41.00, -96.00,217.00,49.00, -85.00,16, 2.503, 4.00,303.00,-2.782,84.00,164.00, 0.271, 4.00, 34.00
606167715,NIED     ,2013-07-23,10:48:00   , 37.1000, 140.7000,  5.0,        ,NIED     ,14,1.140, 3.3,  ,      ,      ,      ,      ,      ,      ,190.00,53.00, -58.00,324.00,47.00,-125.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
606167715,JMA      ,2013-07-23,10:48:05.50, 37.1300, 140.6800,  8.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,180.00,43.00, -73.00,337.00,49.00,-106.00,  ,      , 3.00, 78.00,      ,78.00,181.00,      ,12.00,347.00
604363180,NIED     ,2013-07-23,15:13:00   , 37.7000, 142.1000, 32.0,        ,NIED     ,14,1.290, 3.3,  ,      ,      ,      ,      ,      ,      ,197.00,33.00, -61.00,343.00,62.00,-107.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
606168138,JMA      ,2013-07-24,10:48:45.80, 37.1100, 140.6800,  8.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 38.00,54.00, -82.00,204.00,37.00,-101.00,  ,      , 9.00,122.00,      ,79.00,340.00,      , 7.00,213.00
603367653,NIED     ,2013-07-24,11:56:00   , 36.2000, 141.4000,  5.0,        ,NIED     ,14,7.750, 3.9,  ,      ,      ,      ,      ,      ,      ,175.00, 9.00, 165.00,280.00,88.00,  81.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603367675,NIED     ,2013-07-25,04:37:00   , 38.2000, 142.3000, 32.0,        ,NIED     ,14,5.950, 3.8,  ,      ,      ,      ,      ,      ,      , 80.00,36.00, 141.00,204.00,68.00,  60.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
606168629,JMA      ,2013-07-25,13:38:35.50, 37.1100, 140.7000,  8.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 11.00,46.00, -79.00,175.00,46.00,-101.00,  ,      , 0.00,273.00,      ,82.00,  3.00,      , 8.00,183.00
603367693,NIED     ,2013-07-25,16:55:00   , 36.9000, 141.1000, 53.0,        ,NIED     ,15,1.100, 4.0,  ,      ,      ,      ,      ,      ,      , 77.00,41.00,  28.00,326.00,72.00, 128.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603367693,JMA      ,2013-07-25,16:55:33.60, 36.8800, 141.0700, 51.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 87.00,64.00,  61.00,318.00,38.00, 135.00,  ,      ,60.00,314.00,      ,14.00,197.00,      ,26.00,100.00
603367711,JMA      ,2013-07-26,05:43:21.00, 37.1100, 140.7100,  6.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 13.00,40.00,-101.00,207.00,51.00, -81.00,  ,      , 6.00,291.00,      ,81.00,161.00,      , 7.00, 22.00
603367743,NIED     ,2013-07-26,19:47:00   , 37.3000, 141.9000, 41.0,        ,NIED     ,14,4.110, 3.7,  ,      ,      ,      ,      ,      ,      , 99.00,84.00,  99.00,221.00,11.00,  32.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603273941,NIED     ,2013-07-27,17:47:00   , 36.8000, 141.4000,  5.0,        ,NIED     ,15,1.160, 4.0,  ,      ,      ,      ,      ,      ,      , 21.00,40.00, -90.00,200.00,50.00, -90.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
606170409,JMA      ,2013-07-29,02:58:18.20, 35.6900, 139.7100, 30.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 85.00,75.00,  84.00,289.00,16.00, 113.00,  ,      ,59.00,346.00,      ,30.00,180.00,      , 6.00, 86.00
603354294,NIED     ,2013-07-29,09:19:00   , 38.8000, 141.6000, 68.0,        ,NIED     ,14,7.490, 3.8,  ,      ,      ,      ,      ,      ,      ,197.00,77.00, 112.00,315.00,26.00,  30.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603354294,JMA      ,2013-07-29,09:19:58.10, 38.7600, 141.6100, 68.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 43.00,12.00, 115.00,198.00,79.00,  85.00,  ,      ,56.00,101.00,      ,34.00,292.00,      , 5.00,199.00
604366414,NIED     ,2013-07-29,15:33:00   , 38.6000, 142.2000, 47.0,        ,NIED     ,14,4.560, 3.7,  ,      ,      ,      ,      ,      ,      ,146.00,79.00, 171.00,237.00,81.00,  11.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603287247,NIED     ,2013-07-29,16:05:00   , 36.5000, 140.6000, 62.0,        ,NIED     ,14,4.910, 3.7,  ,      ,      ,      ,      ,      ,      , 38.00,65.00,  96.00,204.00,26.00,  78.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603287247,JMA      ,2013-07-29,16:05:50.50, 36.5200, 140.5700, 58.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 17.00,60.00,  89.00,199.00,30.00,  92.00,  ,      ,75.00,284.00,      ,15.00,108.00,      , 1.00, 18.00
603354326,NIED     ,2013-07-30,05:30:00   , 35.2000, 141.3000, 23.0,        ,NIED     ,15,1.950, 4.1,  ,      ,      ,      ,      ,      ,      , 51.00,80.00,  50.00,309.00,41.00, 165.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603306148,NIED     ,2013-07-30,09:15:00   , 37.4000, 141.9000, 38.0,        ,NIED     ,14,6.750, 3.8,  ,      ,      ,      ,      ,      ,      ,246.00,90.00, -88.00,341.00, 2.00,-175.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603354338,NIED     ,2013-07-30,12:39:00   , 36.3000, 140.1000, 50.0,        ,NIED     ,14,3.040, 3.6,  ,      ,      ,      ,      ,      ,      ,174.00,39.00, 157.00,283.00,76.00,  54.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603354338,JMA      ,2013-07-30,12:39:38.90, 36.2200, 140.0800, 57.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,140.00,19.00, 140.00,269.00,78.00,  75.00,  ,      ,55.00,160.00,      ,31.00, 11.00,      ,15.00,272.00
603354343,JMA      ,2013-07-30,18:09:07.20, 36.7200, 140.6300,  6.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,148.00,36.00,-105.00,345.00,55.00, -80.00,  ,      ,10.00, 68.00,      ,77.00,290.00,      , 9.00,160.00
606171106,JMA      ,2013-07-30,18:17:23.80, 35.3800, 139.1100, 17.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 15.00,69.00,  68.00,243.00,30.00, 134.00,  ,      ,60.00,253.00,      ,21.00,121.00,      ,20.00, 23.00
603294204,NIED     ,2013-07-30,21:20:00   , 37.1000, 141.4000, 65.0,        ,NIED     ,14,8.130, 3.9,  ,      ,      ,      ,      ,      ,      , 76.00,31.00, 129.00,213.00,67.00,  69.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603294204,JMA      ,2013-07-30,21:20:45.70, 37.1200, 141.2500, 59.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 86.00,38.00, 141.00,208.00,67.00,  58.00,  ,      ,56.00, 77.00,      ,16.00,321.00,      ,29.00,222.00
603294209,NIED     ,2013-07-31,00:14:00   , 38.1000, 142.1000,  5.0,        ,NIED     ,16,1.330, 4.7,  ,      ,      ,      ,      ,      ,      ,139.00,50.00, -90.00,318.00,40.00, -90.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603294209,JMA      ,2013-07-31,00:14:13.30, 38.0900, 142.0900, 18.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,140.00,32.00, -82.00,310.00,58.00, -95.00,  ,      ,13.00, 44.00,      ,76.00,205.00,      , 4.00,313.00
603294209,GCMT     ,2013-07-31,00:14:15.00, 38.1700, 142.0000, 12.5,TRUE    ,GCMT     ,16,1.677, 4.7,16,-1.640, 0.761, 0.870, 0.475,-0.748, 0.178,151.00,43.00, -69.00,303.00,50.00,-109.00,16, 1.582, 4.00, 46.00,-1.771,75.00,150.00, 0.189,14.00,315.00
603294219,ISC      ,2013-07-31,05:40:50.42, 36.5610, 142.7187, 11.0,        ,ISC      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 61.68,64.52, 117.81,190.89,37.02,  45.62,  ,      ,60.33, 13.46,      ,15.09,131.71,      ,24.90,228.90
603294219,NIED     ,2013-07-31,05:40:00   , 36.5000, 142.7000,  8.0,        ,NIED     ,16,5.650, 5.1,  ,      ,      ,      ,      ,      ,      , 17.00,50.00,  77.00,218.00,41.00, 106.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603294219,GCMT     ,2013-07-31,05:40:53.60, 36.4800, 142.9000, 13.2,TRUE    ,GCMT     ,16,6.861, 5.2,16, 5.550,-1.980,-3.570, 1.880,-2.800, 3.460, 32.00,63.00,  85.00,222.00,28.00,  99.00,16, 6.814,72.00,291.00,-6.908,17.00,126.00, 0.093, 4.00, 34.00
606171443,NIED     ,2013-07-31,13:40:00   , 35.7000, 140.8000, 44.0,        ,NIED     ,15,1.220, 4.0,  ,      ,      ,      ,      ,      ,      ,  4.00,65.00,  95.00,171.00,25.00,  78.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
606171507,JMA      ,2013-07-31,16:40:13.50, 37.0700, 139.3500,  7.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 59.00,46.00, 134.00,184.00,59.00,  54.00,  ,      ,59.00, 41.00,      , 7.00,299.00,      ,30.00,205.00
604645401,NIED     ,2013-08-01,08:25:00   , 36.1000, 141.7000, 11.0,        ,NIED     ,14,2.380, 3.5,  ,      ,      ,      ,      ,      ,      , 35.00,76.00, 130.00,141.00,42.00,  21.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
604645406,NIED     ,2013-08-01,11:13:00   , 35.3000, 141.2000, 32.0,        ,NIED     ,15,2.020, 4.1,  ,      ,      ,      ,      ,      ,      , 72.00,62.00,  34.00,325.00,60.00, 147.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
606171872,JMA      ,2013-08-01,12:18:21.70, 37.0700, 139.3500,  8.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 55.00,43.00, 131.00,185.00,59.00,  59.00,  ,      ,62.00, 44.00,      , 9.00,297.00,      ,26.00,203.00
604645503,NIED     ,2013-08-03,17:44:00   , 35.6000, 140.9000, 47.0,        ,NIED     ,14,5.300, 3.7,  ,      ,      ,      ,      ,      ,      ,100.00,51.00, -33.00,212.00,65.00,-136.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
604645503,JMA      ,2013-08-03,17:44:30.00, 35.6600, 140.7700, 49.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,119.00,36.00, -10.00,217.00,84.00,-126.00,  ,      ,30.00,335.00,      ,40.00, 94.00,      ,35.00,221.00
608161129,ISC      ,2013-08-04,03:28:50.32, 38.2361, 141.7821, 52.7,        ,ISC      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 29.75,74.02, 121.35,144.07,34.81,  28.84,  ,      ,50.83,335.36,      ,22.70, 96.25,      ,30.01,200.23
608161129,NIED     ,2013-08-04,03:28:00   , 38.2000, 141.8000, 59.0,        ,NIED     ,17,6.860, 5.8,  ,      ,      ,      ,      ,      ,      , 11.00,43.00, 102.00,176.00,48.00,  80.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
608161129,JMA      ,2013-08-04,03:28:50.80, 38.1600, 141.8000, 58.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 38.00,54.00, 136.00,157.00,56.00,  45.00,  ,      ,54.00,  8.00,      , 1.00,277.00,      ,36.00,186.00
608161129,NEIC     ,2013-08-04,03:28:50.81, 38.2133, 141.8621, 56.0,        ,NEIC     ,17,9.020, 5.9,17, 9.063,-0.692,-8.371,-0.451,-0.439,-2.130,  1.44,38.10,  87.04,185.20,51.96,  92.33,17, 9.335,83.00,108.00,-8.657, 7.00,274.00,-0.678, 2.00,  4.00
608161129,GCMT     ,2013-08-04,03:28:51.80, 38.2300, 141.8300, 53.8,TRUE    ,GCMT     ,18,0.730, 5.8,18, 0.665, 0.091,-0.750,-0.017,-0.098,-0.140,  6.00,39.00,  90.00,187.00,51.00,  90.00,18, 0.679,84.00, 98.00,-0.781, 6.00,277.00, 0.102, 0.00,  7.00
608161129,NEIC     ,2013-08-04,03:28:54   , 38.2000, 141.9300, 52.7,TRUE    ,NEIC     ,17,7.640, 5.9,17, 6.740, 1.240,-7.980,-0.350,-0.990,-1.370,  4.00,40.00,  87.18,188.00,50.00,  93.00,17, 6.878,84.00,118.00,-8.216, 5.00,276.00, 1.338, 2.00,  6.00
608161129,NEIC     ,2013-08-04,03:29:08   , 38.2541, 141.5368, 50.7,TRUE    ,NEIC     ,17,7.610, 5.9,17, 7.718,-0.285,-7.432, 0.474,-0.460,-0.151,  7.11,44.65,  94.91,180.22,45.56,  85.18,17, 7.748,87.00, 11.00,-7.463, 0.00,274.00,-0.285, 3.00,184.00
606173177,NIED     ,2013-08-04,05:51:00   , 36.5000, 140.6000, 62.0,        ,NIED     ,15,1.110, 4.0,  ,      ,      ,      ,      ,      ,      , 20.00,70.00,  94.00,189.00,20.00,  79.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
606173177,JMA      ,2013-08-04,05:51:12.20, 36.4600, 140.6100, 56.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 18.00,72.00,  77.00,234.00,22.00, 124.00,  ,      ,61.00,269.00,      ,26.00,118.00,      ,12.00, 22.00
605915627,NIED     ,2013-08-05,08:29:00   , 36.4000, 141.1000, 29.0,        ,NIED     ,14,1.690, 3.4,  ,      ,      ,      ,      ,      ,      ,180.00,71.00, -74.00,319.00,25.00,-128.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
604645609,NIED     ,2013-08-05,16:37:00   , 38.1000, 139.6000,185.0,        ,NIED     ,14,5.740, 3.8,  ,      ,      ,      ,      ,      ,      ,107.00,44.00, -76.00,268.00,48.00,-103.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603306925,NIED     ,2013-08-05,17:20:00   , 38.2000, 141.8000, 59.0,        ,NIED     ,14,9.790, 3.9,  ,      ,      ,      ,      ,      ,      , 36.00,43.00, 135.00,162.00,61.00,  56.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
