% West Bohemia mechanisms
%  strike          dip             rake  
   1.5648017e+02   6.9754505e+01  -4.0926873e+01
   1.5713346e+02   7.1780652e+01  -4.0611214e+01
   1.5800602e+02   7.2891912e+01  -4.0633465e+01
   2.6966331e+02   4.7796337e+01  -1.4696482e+02
   1.5610918e+02   7.8028636e+01  -4.1268432e+01
   1.6161603e+02   7.5515295e+01  -3.4006532e+01
   1.6030305e+02   7.5041017e+01  -4.2375039e+01
   1.5806608e+02   7.3164400e+01  -4.0792697e+01
   1.5999207e+02   7.6268641e+01  -3.2367428e+01
   1.5560142e+02   7.3078154e+01  -3.4301558e+01
   1.5798652e+02   8.4262885e+01  -2.9067781e+01
   1.5124045e+02   6.8491787e+01  -3.8413145e+01
   1.5401750e+02   7.4215351e+01  -2.2592045e+01
   3.4334565e+02   8.6595935e+01   2.7070112e+01
   3.2735284e+02   4.3400019e+01  -1.4375971e+02
   2.0744634e+02   6.5371249e+01  -2.8865803e+01
   1.5751964e+02   5.7753800e+01  -2.5805011e+01
   2.0521498e+02   6.9967723e+01  -6.1621416e+01
   3.4790355e+02   7.8122916e+01   2.4060877e+01
   3.4827693e+02   8.2254957e+01   2.9787798e+01
   3.5027513e+02   8.5666699e+01   2.7898653e+01
   1.7246312e+02   7.6857116e+01  -3.4158083e+01
   1.5706428e+02   8.3399370e+01  -3.4143309e+01
   3.5794632e+02   7.8663695e+01   3.5187795e+01
   2.7467883e+02   6.2864614e+01  -1.3244743e+02
   1.5991933e+02   6.0111316e+01  -6.7769178e+01
   2.7599004e+02   5.7231011e+01  -1.3609940e+02
   2.7017025e+02   6.2570276e+01  -1.3249685e+02
   1.6354629e+02   5.9518777e+01  -2.7725755e+01
   2.7717911e+02   6.2636081e+01  -1.2744794e+02
   1.6533477e+02   5.5515311e+01  -1.5641318e+01
   2.7650761e+02   5.4587475e+01  -1.2576477e+02
   2.7651820e+02   5.5831529e+01  -1.3118012e+02
   3.0021454e+02   5.9834306e+01  -1.4347918e+02
   1.8929590e+02   6.1104938e+01  -3.3649977e+01
   2.0760180e+02   5.3990696e+01  -3.3314018e+01
   2.1213992e+02   5.0763709e+01  -2.8911032e+01
   2.9833069e+02   7.8925488e+01  -1.5544832e+02
   3.1787956e+02   5.5177557e+01  -1.4722254e+02
   2.0740085e+02   6.0717669e+01  -3.1789304e+01
   2.0924388e+02   4.9379813e+01  -2.4412370e+01
   2.1391237e+02   6.4273067e+01  -2.8652935e+01
   1.9147397e+02   4.3364253e+01  -2.2615709e+01
   2.8109302e+02   8.0915302e+01  -1.3825026e+02
   2.1492516e+02   6.1767226e+01  -2.6120376e+01
   2.1142153e+02   6.3032902e+01  -3.7197022e+01
   3.1597471e+02   6.8449698e+01  -1.5922551e+02
   1.8659106e+02   4.9238964e+01  -1.6952362e+01
   2.1156723e+02   5.8659614e+01  -2.5433911e+01
   3.1071298e+02   7.5977303e+01  -1.5326102e+02
   3.1350821e+02   6.7004369e+01  -1.5358819e+02
   2.0237464e+02   5.5574135e+01  -2.3393559e+01
   3.1953552e+02   5.3788101e+01  -1.3772937e+02
   3.0275993e+02   6.5735761e+01  -1.4094117e+02
   2.1956427e+02   7.3877861e+01  -4.7744748e+01
   2.0696978e+02   6.8539650e+01  -4.2131472e+01
   2.0137256e+02   5.7361536e+01  -1.9480108e+01
